,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,inov-8 Mudclaw 300,Women's Shoes - Blue/Yellow, $160.00 , Technologies  MIDSOLEEVA foam for amazing cushioning and impact protection.Dynamic Fascia Band Shank extends from the midfoot to the forefoot for flexible underfoot impact protection.OUTSOLEG-Grip is graphene-enhanced rubber that provides better traction and increased durability.Adapter-Flex groove increases agility over uneven terrain.8mm Lugs grip on the loose and muddy surfaces. UPPERHard Wearing upper is lightweight and breathable.  ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSMT"">Soft &amp; Muddy Trails</i><span>Soft &amp; Muddy Trails</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSIT"">Snowy &amp; Icy Trails</i><span>Snowy &amp; Icy Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_Mudclaw_300/descpage-IM300W1.html
1,inov-8 TrailFly G 270 v2,Women's Shoes - Pine/Peach, $170.00 , Technologies  MIDSOLEPOWERFLOW MAX foam for amazing cushioning and great bounce.Dynamic Fascia Band Shank extends from the midfoot to the forefoot for flexible underfoot impact protection.OUTSOLEG-Grip is graphene-enhanced rubber that provides better traction and increased durability.Adapter-Flex groove increases agility over uneven terrain.UPPERHard Wearing upper is lightweight and breathable.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_TrailFly_G_270_v2/descpage-ITG27W1.html
2,inov-8 TrailFly Ultra G 300 Max,Women's Shoes - Navy/Mint, $195.00 ," Technologies  MIDSOLEG-FLY foam is enhanced with graphene, the world's strongest material, for durable cushioning that offers a bouncy ride.Boomerang footbed running from the heel to the forefoot offers a plush yet energetic feel with each step and helps to propel the runner forward.OUTSOLEG-GRIP rubber outsole is made with graphene, the world's strongest material, for long-lasting traction.4mm lugs provide grip on trails while maintaining a smooth ride on roads.UPPERKnit Mesh covers the upper for durable coverage that resists abrasion from the trail.Met-Cradle provides stability over rough terrain.    ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_TrailFly_Ultra_G_300_Max/descpage-ITUG3W1.html
3,inov-8 Trailtalon 235,Women's Shoes - Navy/Blue/Yellow, $145.00 ," Technologies  MIDSOLEPOWERFLOW is a unique midsole compound that delivers increased shock absorption and energy return.Dynamic Fascia Band running from the heel to the forefoot acts as a rigid lever arm, releasing energy with each step and propelling the runner forward.OUTSOLETri-C Compound combines three different outsole rubbers for excellent grip and decreased wear.4mm Lugs dig into all surfaces. Meta-Flex groove is located at the forefoot to encourage natural forefoot flex during toe-off.UPPERSynthetic Mesh covers the upper for lightweight, breathable coverage. Toe Cap increases the upper's durability and keeps toes safe from bruising on trails.Met-Cradle is a synthetic webbing upper that supports the forefoot and provides a secure fit.External Heel Cage provides added support and heel lockdown.   ","[<div class=""col is-active"">Minimal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_Trailtalon_235/descpage-IT235W5.html
4,inov-8 Parkclaw G 280,Women's Shoes - Navy/Teal, $180.00 ," Technologies  MIDSOLEG-FLY foam is enhanced with graphene, the world's strongest material, for durable cushioning that offers a bouncy ride.Boomerang footbed running from the heel to the forefoot offers a plush yet energetic feel with each step and helps to propel the runner forward.OUTSOLEG-GRIP rubber outsole is made with graphene, the world's strongest material, for long-lasting traction.4mm lugs provides grip on trails while maintaining a smooth ride on roads.UPPERKnit Mesh covers the upper for durable coverage that resists abrasion from the trail.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/inov-8_Parkclaw_G_280/descpage-IPG28W1.html
