,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Craft CTM Ultra Trail,Women's Shoes - Sky/Peach, $131.24 $174.99* , Technologies  MIDSOLEUd Foam is an EVA-based foam that is durable and provides a high rebound.Ultra Rebound insole produces high energy return against the foot. OUTSOLE2-piece Lugged Traction Rubber is placed strategically to increase traction and durability.UPPEROne-piece Engineered Mesh Upper provides a snug fit.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Craft_CTM_Ultra_Trail/descpage-CCUTW2.html
1,Craft PRO Endur Distance,Women's Shoes - Black/White, $104.99 $139.99* , Technologies  MIDSOLEPx Foam for superior softness and resilient rebound.OUTSOLERubber outsole is strategically placed for added durability and traction.UPPEROne-Piece Engineered mesh works in unison with the foot to provide comfort and support.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Craft_PRO_Endur_Distance/descpage-CPED1W2.html
2,Craft ADV Nordic Speed 2,Women's Shoes - Machine/Ecru, $104.99 $139.99* , Technologies  MIDSOLE CMEVA Foam is designed to offer a balance of softness and energy return for a smooth and stable running experience. OUTSOLE Rubber outsole with a triangular tread pattern provides traction and flexibility. Heel pad allows de-coupling for weight distribution through stride. UPPER Nylon mesh upper is designed to offer durability without sacrificing breathability. TPU toe guard protects the toes from stones and debris without adding excessive weight.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/Craft_ADV_Nordic_Speed_2/descpage-CANS2W2.html
3,Craft Endurance Trail,Women's Shoes - Flex/Dawn, $119.99 $159.99* , Technologies  MIDSOLEPx FOAM is a thermoplastic elastomer beaded foam that is lightweight and bouncy.OUTSOLEMID-HEIGHT RUBBER LUGS provides excellent grip and protection over varying terrain. UPPERONE-PIECE MESH upper is breathable yet secure.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Craft_Endurance_Trail/descpage-CENTW1.html
