,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Under Armour Flow Velociti Elite Unisex Shoes,\Aqua/Lim - Aqua/Lim, $249.95 ," Technologies  MIDSOLEUA Super Critical Flow is lightweight, responsive, and provides great grip.Pebax Foam in the top layer of the midsole is soft, lightweight and energetic. Full-length Carbon-Fiber Plate provides for high energy return.OUTSOLEUA Super Critical Flow Foam has excellent traction and saves weight by eliminating need for rubber outsole. UPPERUA WARP 2.0 Upper provides a breathable and lightweight containment.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_Flow_Velociti_Elite_Unisex_Shoes/descpage-UAFVEU2.html
1,Under Armour Flow Velociti Elite Unisex Shoes,\White/Bk - White/Bk, $249.95 ," Technologies  MIDSOLEUA Super Critical Flow is lightweight, responsive, and provides great grip.Pebax Foam in the top layer of the midsole is soft, lightweight and energetic. Full-length Carbon-Fiber Plate provides for high energy return.OUTSOLEUA Super Critical Flow Foam has excellent traction and saves weight by eliminating need for rubber outsole. UPPERUA WARP 2.0 Upper provides a breathable and lightweight containment.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_Flow_Velociti_Elite_Unisex_Shoes/descpage-UAFVEU1.html
2,Under Armour FLOW Velociti Wind 2,Women's Shoes - Black, $49.88 $160.00* ," Technologies  MIDSOLEUA Flow is a single foam midsole that is light, responsive, and provides great grip.OUTSOLEUA FLOW  has engineered grooves and traction that is used instead of a rubber outsole.UPPERUA Warp provides a lightweight and durable upper.Reflective Yarn offers 360 degrees of reflectivity for training in low light.MAPMYRUNThis shoe comes Bluetooth enabled to connect to MAPMYRUN which tracks and analyzes running metrics to help make you a better runner.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_FLOW_Velociti_Wind_2/descpage-UAFW2W1.html
3,Under Armour Centric Grip Throw Shoes,Unisex - Black, $89.95 ," Technologies  MIDSOLEHOVR Cushioning System includes a soft UA HOVR foam combined with a dynamic mesh Energy Web creates a balance of cushioning and responsiveness. PEBA Midfoot Shank adds stiffness for efficient footstrike.OUTSOLEDurable Rubber provides traction and a smooth and powerful rotation.UPPEREmbroidered upper uses high-strength yarn for a stylish, supportive fit with added breathability.Rubber Toe Bumper provides increased protection and durability.  ",[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSPDISSH"">Shot Put/Discus/Hammer</i><span>Shot Put/Discus/Hammer</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MASPHALT"">Asphalt</i><span>Asphalt</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_Centric_Grip_Throw_Shoes/descpage-UACGTS.html
4,Under Armour Shakedown Elite Spikes,Unisex - White, $149.95 , Technologies  MIDSOLEPelletized Pebax Foam in the midsole creates a springboard in the forefoot by compressing and then rebounding.OUTSOLEFull-length Pebax plate provides a structured and stable platform for energized lift-offs. 6-pin Spike Design in forefoot enhances grip on the track. UPPERUA WARP Upper provides a breathable and lightweight containment.  ,[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MCMD80015"">800-1500m</i><span>800-1500m</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MCD310"">3k-10k</i><span>3k-10k</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRUBBER"">Rubber</i><span>Rubber</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_Shakedown_Elite_Spikes/descpage-UASHEU1.html
5,Under Armour HOVR Shakedown Spikes,Unisex - Halo Gray, $119.95 ," Technologies  MIDSOLEHOVR Cushioning System includes a soft UA HOVR foam combined with a dynamic mesh Energy Web that creates a balance of cushioning and responsiveness. Pebax Midfoot Shank adds structure in the midfoot for a more efficient ride.Dual Density Medial Support increases efficiency of footstrike and toe-off.OUTSOLEPerimeter Pebax Plate provides traction and improved comfort on the track.Sharkskin is set in a sharp, crisscross pattern in the heel and forefoot for ultimate grip on track and field surfaces.Contains 4 spike receptacles per shoe.UPPEREmbroidered upper uses high-strength yarn for a stylish, supportive fit with added breathability.HOVR sock liner works with the upper to create a zero-gravity feel.  ",[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MCMD80015"">800-1500m</i><span>800-1500m</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MCD310"">3k-10k</i><span>3k-10k</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSTEEPLE"">Steeplechase</i><span>Steeplechase</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRUBBER"">Rubber</i><span>Rubber</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_HOVR_Shakedown_Spikes/descpage-UASHP.html
6,Under Armour HOVR Skyline LJ Spikes,Unisex - Gray, $99.95 ," Technologies  MIDSOLEHOVR Cushioning System includes a soft UA HOVR foam combined with a dynamic mesh Energy Web that creates a balance of cushioning and responsiveness. Structural Midsole Foam keeps the foot centered and provides greater durability.OUTSOLE3/4 LX90 Pebax Plate provides stiffness for lightweight propulsion.Sharkskin heel adds lightweight traction.Contains 7 spike receptacles per shoe.UPPEREmbroidered upper uses high-strength yarn for a stylish, supportive fit with added breathability.3X Power Strap provides precision fit and stabilization to the foot.  ",[],[],https://www.runningwarehouse.com/Under_Armour_HOVR_Skyline_LJ_Spikes/descpage-UAHSLJ.html
7,Under Armour Kick Distance 4 Spikes,Unisex - White/Bk/Mt, $39.88 $70.00* ," Technologies  MIDSOLEMicro-G Cushioning creates a balance of cushioning and responsiveness.Pebax Midfoot Shank adds structure to the midfoot for a more efficient ride.OUTSOLEPerimeter Pebax Plate provides traction and improved comfort on the track.Sharkskin is set in a sharp, crisscross pattern in the heel and forefoot for ultimate grip on track and field surfaces.Contains 4 spike receptacles per shoe.UPPEREmbroidered upper uses high-strength yarn for a stylish, supportive fit with added breathability.  ",[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MCD310"">3k-10k</i><span>3k-10k</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRUBBER"">Rubber</i><span>Rubber</span></div> </div>]",https://www.runningwarehouse.com/Under_Armour_Kick_Distance_4_Spikes/descpage-UAKD4M1.html
