,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
10,HOKA Clifton 9,Women's Shoes - Eggnog/Blanc de Blanc, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W03.html
11,HOKA Clifton 9,Women's Shoes - Nimbus Cloud/Ice Water, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W09.html
12,HOKA Clifton 9,Women's Shoes - Airy Blue/Ice Water, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W05.html
13,HOKA Clifton 9,Women's Shoes - Black/White, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W07.html
14,HOKA Clifton 9,Women's Shoes - Cyclamen/Sweet Lilac, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W08.html
15,HOKA Clifton 8,Women's Shoes - Aquarelle/Blue, $111.95 $140.00* ," Technologies  MIDSOLEFull Compression EVA provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage efficient running mechanics.Moderate Heel Bevel gives a smooth transition. Flat Waisted Geometry provides inherent stability. OUTSOLEFull Ground Contact provides increased traction and a smooth heel to toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for traction and durability, with an updated design to optimize grip and energy return.UPPEREngineered Mesh on the upper uses an open design to allow for airflow while providing support in key areas.Embroidery Reinforcement reduces layers and offers support and midfoot lockdown. Reinforced Eyestays provide increased durability.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_8/descpage-HOCL8W1.html
16,HOKA Clifton 8,Women's Shoes - Cantaloupe/Peony, $111.95 $140.00* ," Technologies  MIDSOLEFull Compression EVA provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage efficient running mechanics.Moderate Heel Bevel gives a smooth transition. Flat Waisted Geometry provides inherent stability. OUTSOLEFull Ground Contact provides increased traction and a smooth heel to toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for traction and durability, with an updated design to optimize grip and energy return.UPPEREngineered Mesh on the upper uses an open design to allow for airflow while providing support in key areas.Embroidery Reinforcement reduces layers and offers support and midfoot lockdown. Reinforced Eyestays provide increased durability.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_8/descpage-HOCL8W2.html
17,HOKA Clifton 8,Women's Shoes - Grape Wine/Berry, $111.95 $140.00* ," Technologies  MIDSOLEFull Compression EVA provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage efficient running mechanics.Moderate Heel Bevel gives a smooth transition. Flat Waisted Geometry provides inherent stability. OUTSOLEFull Ground Contact provides increased traction and a smooth heel to toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for traction and durability, with an updated design to optimize grip and energy return.UPPEREngineered Mesh on the upper uses an open design to allow for airflow while providing support in key areas.Embroidery Reinforcement reduces layers and offers support and midfoot lockdown. Reinforced Eyestays provide increased durability.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_8/descpage-HOC8W17.html
18,HOKA Clifton 8,Women's Shoes - Summer Song/Ice Fl, $111.95 $140.00* ," Technologies  MIDSOLEFull Compression EVA provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage efficient running mechanics.Moderate Heel Bevel gives a smooth transition. Flat Waisted Geometry provides inherent stability. OUTSOLEFull Ground Contact provides increased traction and a smooth heel to toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for traction and durability, with an updated design to optimize grip and energy return.UPPEREngineered Mesh on the upper uses an open design to allow for airflow while providing support in key areas.Embroidery Reinforcement reduces layers and offers support and midfoot lockdown. Reinforced Eyestays provide increased durability.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_8/descpage-HOC8W14.html
19,HOKA Clifton 8,Women's Shoes - Sun Baked/Coral, $111.95 $140.00* ," Technologies  MIDSOLEFull Compression EVA provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to encourage efficient running mechanics.Moderate Heel Bevel gives a smooth transition. Flat Waisted Geometry provides inherent stability. OUTSOLEFull Ground Contact provides increased traction and a smooth heel to toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for traction and durability, with an updated design to optimize grip and energy return.UPPEREngineered Mesh on the upper uses an open design to allow for airflow while providing support in key areas.Embroidery Reinforcement reduces layers and offers support and midfoot lockdown. Reinforced Eyestays provide increased durability.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_8/descpage-HOC8W16.html
