,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Birkenstock Arizona EVA,Women's - White, $49.95 ," Technologies  MIDSOLEEVA foam is light, insulated, and sustainable.OUTSOLERubber outsole with strategic groove placement provides traction and additional underfoot cushioning.UPPERAdjustable Straps wrap across the top of the midfoot for secure, breathable, and gentle comfort.  ",[],[],https://www.runningwarehouse.com/Birkenstock_Arizona_EVA/descpage-BEVAW1.html
1,Birkenstock Arizona Soft Footbed,Women's - Suede/Taupe, $140.00 ," Technologies  MIDSOLEMemory Foam provides plush step-in comfort.Cork layer is light, insulated, and sustainable.OUTSOLERubber outsole with strategic groove placement provides traction and underfoot cushioning.UPPERReal leather straps wrap across the top of the midfoot for secure, breathable, and gentle comfort.  ",[],[],https://www.runningwarehouse.com/Birkenstock_Arizona_Soft_Footbed/descpage-BARIZ1.html
2,Birkenstock Arizona,Women's - Birkibuc/Mocha, $110.00 ," Technologies  MIDSOLECork layer is light, insulated, and sustainable.OUTSOLERubber outsole with strategic groove placement provides traction and additional underfoot cushioning.UPPERAdjustable Straps wrap across the top of the midfoot for secure, breathable, and gentle comfort.  ",[],[],https://www.runningwarehouse.com/Birkenstock_Arizona/descpage-BARIZ.html
3,Birkenstock Florida Soft Footbed,Women's - Leather/Habana, $145.00 ," Technologies  MIDSOLELatex Foam provides plush step-in comfort.Cork layer is light, insulated, and sustainable.OUTSOLERubber outsole with strategic groove placement provides traction and additional underfoot cushioning.UPPERBirko-Flor is made of easy-to-care-for and hygienic PVC, which has been lined on the inside with a soft, breathable layer of fleece.  ",[],[],https://www.runningwarehouse.com/Birkenstock_Florida_Soft_Footbed/descpage-BFLOR.html
4,Birkenstock Mayari,Women's - Oiled Leather/Tobacco, $130.00 ," Technologies  MIDSOLECork layer is light, insulated, and sustainable.OUTSOLERubber outsole with strategic groove placement provides traction and additional underfoot cushioning.UPPERBirko-Flor is made of easy-to-care-for and hygienic PVC, which has been lined on the inside with a soft, breathable layer of fleece.  ",[],[],https://www.runningwarehouse.com/Birkenstock_Mayari/descpage-BMAYAR.html
