,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,The North Face Summit VECTIV Pro,Women's Shoes - Yell/Slt, $249.95 , Technologies  MIDSOLEVECTIV 2.0 Carbon-Fiber-Plate spans from the heel to the forefoot and is forked and winged at the forefoot (and winged at the heel) to provide reliable stability on technical terrain.Rocker Geometry provides long-lasting propulsion.PEBA and High-Rebound EVA Blended foam midsole is highly responsive and bouncy in addition to being highly cushioned and protective.OUTSOLESurface CTRL Rubber with 3.5mm lugs offers excellent traction on varied terrain.UPPERDual Layer TPU Mesh is breathable and does not hold water weight should runners encounter streams along the way.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/The_North_Face_Summit_VECTIV_Pro/descpage-NFSVPW0.html
1,The North Face Summit VECTIV Sky,Women's Shoes - Yell/Slt, $198.95 , Technologies  MIDSOLECARBON-FIBER PLATE is forked at the heel and forefoot for increased stability on technical terrain. 4mm PEBAX INSERT in forefoot combines with high-rebound EVA foam midsole for highly responsive ride. OUTSOLESURFACE CTRL RUBBER outsole with 3.5 mm lugs combines for strong grip while keeping weight as low as possible. UPPERDUAL LAYER TPU MESH in the forefoot for breathability and superior water drainage.RIPSTOP material in the heel with an integrated tongue for a sock-like fit that keeps debris out.   ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/The_North_Face_Summit_VECTIV_Sky/descpage-NFSVSW0.html
2,The North Face VECTIV Infinite 2,Women's Shoes - Yell/Slt, $168.95 ," Technologies  MIDSOLEPremium EVA Foam  ensures a well cushioned and responsive underfoot experience Full-Length TPU Plate is ideal for trail runners looking for added stability as well as propulsion.Pebax Foam Insert in the forefoot offers a soft yet responsive feel and helps with weight savings.VECTIV 2.0 Rocker Geometry creates an enhanced heel-toe transition on a stable platformTPU Footbed offers a durable and responsive feel.OUTSOLESurface CTRL rubber is a tacky rubber compound that offers significantly more traction than traditional rubber.5mm Lugs digs into soft terrain adding additional traction.UPPERDouble Jacquard Mesh offers a durable, comfortable and breathable fit.3D-molded heel counter creates a secure heel fit.Reinforced toe cap for added durability and protection  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/The_North_Face_VECTIV_Infinite_2/descpage-NFVI2W0.html
3,The North Face VECTIV Enduris 3,Women's Shoes - Pink/Grey, $148.95 , Technologies  MIDSOLEDual-density Foam cushioning ensures a responsive yet protective feel.Dual Density TPU VECTIV Plate  designed for maximum energy return on the trail. This plate is designed for added stability as well as propulsion.Rocker Geometry Bowed design allowing for efficient heel to toe transition.OUTSOLESurface Control rubber is a tacky rubber compound that offers significantly more traction than traditional rubber.3.5mm lugs provides addition traction on soft and muddy terrain.UPPERAir-Mesh upper offers a comfortable and breathable fit.Internal Heel Counter for added inherent stability.TPU Overlays around the toe and heel for more protection.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/The_North_Face_VECTIV_Enduris_3/descpage-NFVE3W0.html
4,The North Face Base Camp Mule,Unisex - TNF Black/Black, $88.95 , Technologies  MIDSOLERemovable EVA Foam creates a plush underfoot feel while being fully removable.OUTSOLETranslucent Rubber creates a protective boundary from outside and inside elements.2mm Lugs aid in traction and grip for outdoor capabilityUPPERP.E.T  Mesh creates a comfortable fit while being made from 100% recycled materials.Collapsible Heel is added for a more secure heel lockdown when you need it while made from 50% recycled materials.  ,[],[],https://www.runningwarehouse.com/The_North_Face_Base_Camp_Mule/descpage-NFBCMU3.html
