,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Deckers X Lab KO-Z Mule,Women's - Beige/Pastel Pink, $94.88 $130.00* ," Technologies  MIDSOLEErgonomic PU footbed that is layered with memory foam and leather top sole.Wool Arch for natural comfortRocker Geometry for an efficient and locked-in feel.Xponent+ Midsole featuring squaretail rear ad multilayer CM EVA FoamOUTSOLERubber outsole for durability. UPPERLooped Wool 80% natural wool, 20% recycled polyester  ",[],[],https://www.runningwarehouse.com/Deckers_X_Lab_KO-Z_Mule/descpage-DWKZM2.html
1,Deckers X Lab KO-Z Mule,Women's - Black/Black, $94.88 $130.00* ," Technologies  MIDSOLEErgonomic PU footbed that is layered with memory foam and leather top sole.Wool Arch for natural comfortRocker Geometry for an efficient and locked-in feel.Xponent+ Midsole featuring squaretail rear ad multilayer CM EVA FoamOUTSOLERubber outsole for durability. UPPERLooped Wool 80% natural wool, 20% recycled polyester  ",[],[],https://www.runningwarehouse.com/Deckers_X_Lab_KO-Z_Mule/descpage-DWKZM.html
2,Deckers X Lab KO-Z Gldtr 3,Women's - Pastel Pink, $89.88 $120.00* ," Technologies  MIDSOLEErgonomic PU footbed that is layered with memory foam and leather top sole.Wool Arch for natural comfortRocker Geometry for an efficient and locked-in feel.Xponent+ Midsole featuring squaretail rear ad multilayer CM EVA FoamOUTSOLERubber outsole for durability. UPPERLooped Wool 80% natural wool, 20% recycled polyester  ",[],[],https://www.runningwarehouse.com/Deckers_X_Lab_KO-Z_Gldtr_3/descpage-SKDLG31.html
3,Deckers X Lab X-SCAPE NBK Low,Women's Shoes - Blanc/Grey, $99.88 $160.00* ," Technologies  MIDSOLERocker Geometry for an efficient and locked-in feel.Xponent+ Midsole featuring squaretail rear ad multilayer CM EVA FoamH-Brace support  for added stabilityAnatomical fitOUTSOLERubber outsole for durability. UPPERLooped Wool 80% natural wool, 20% recycled polyesterEcoTan nubuck leather  ",[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>]",https://www.runningwarehouse.com/Deckers_X_Lab_X-SCAPE_NBK_Low/descpage-DLXSLW1.html
4,Deckers X Lab X-SCAPE NBK Low,Women's Shoes - Floral/Blck, $99.88 $160.00* ," Technologies  MIDSOLERocker Geometry for an efficient and locked-in feel.Xponent+ Midsole featuring squaretail rear ad multilayer CM EVA FoamH-Brace support  for added stabilityAnatomical fitOUTSOLERubber outsole for durability. UPPERLooped Wool 80% natural wool, 20% recycled polyesterEcoTan nubuck leather  ",[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>]",https://www.runningwarehouse.com/Deckers_X_Lab_X-SCAPE_NBK_Low/descpage-DLXSLW3.html
5,Deckers X Lab X-SCAPE NBK Low,Women's Shoes - Pink/Mint, $119.88 $160.00* ," Technologies  MIDSOLERocker Geometry for an efficient and locked-in feel.Xponent+ Midsole featuring squaretail rear ad multilayer CM EVA FoamH-Brace support  for added stabilityAnatomical fitOUTSOLERubber outsole for durability. UPPERLooped Wool 80% natural wool, 20% recycled polyesterEcoTan nubuck leather  ",[],"[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>]",https://www.runningwarehouse.com/Deckers_X_Lab_X-SCAPE_NBK_Low/descpage-DLXSLW2.html
