,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,inov-8 TrailFly G 270 v2,Men's Shoes - Pine/Lime, $170.00 , Technologies  MIDSOLEPOWERFLOW MAX foam for amazing cushioning and great bounce.Dynamic Fascia Band Shank extends from the midfoot to the forefoot for flexible underfoot impact protection.OUTSOLEG-Grip is graphene-enhanced rubber that provides better traction and increased durability.Adapter-Flex groove increases agility over uneven terrain.UPPERHard Wearing upper is lightweight and breathable.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_TrailFly_G_270_v2/descpage-ITG27M1.html
1,inov-8 TrailFly Ultra G 300 Max,Men's Shoes - Blue/Grey/N, $195.00 ," Technologies  MIDSOLEG-FLY foam is enhanced with graphene, the world's strongest material, for durable cushioning that offers a bouncy ride.Boomerang footbed running from the heel to the forefoot offers a plush yet energetic feel with each step and helps to propel the runner forward.OUTSOLEG-GRIP rubber outsole is made with graphene, the world's strongest material, for long-lasting traction.4mm lugs provide grip on trails while maintaining a smooth ride on roads.UPPERKnit Mesh covers the upper for durable coverage that resists abrasion from the trail.Met-Cradle provides stability over rough terrain.    ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_TrailFly_Ultra_G_300_Max/descpage-ITUG3M1.html
2,inov-8 Trailtalon 235,Men's Shoes - Black/Red/Grey, $145.00 ," Technologies  MIDSOLEPowerFlow is a unique midsole compound that delivers increased shock absorption and energy returnDynamic Fascia Band running from the heel to the forefoot acts as a rigid lever arm, releasing energy with each step and propelling the runner forward.1 Arrow Shoc-Zone provides minimal underfoot cushioning and a 3mm heel-to-toe drop. This is inov-8's 2nd lowest level of cushioning on their 0-4 arrow scale.OUTSOLETri-C Compound combines three different outsole rubbers for excellent grip and decreased wear.Meta-Flex groove is located at the forefoot to encourage natural forefoot flex during toe-off.UPPERSynthetic Mesh covers the upper for lightweight, breathable coverage. Toe Cap increases the uppers durability and keeps toes safe from bruising on trails.Met-Cradle is a synthetic webbing upper that supports the forefoot and provides a secure fit.External Heel Cage provides added support and heel lockdown.  ","[<div class=""col is-active"">Minimal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_Trailtalon_235/descpage-IT235M1.html
3,inov-8 Parkclaw G 280,Men's Shoes - Nectar/Navy, $180.00 ," Technologies  MIDSOLE

G-FLY foam is enhanced with graphene, the world's strongest material, for durable cushioning that offers a bouncy ride.
Boomerang footbed running from the heel to the forefoot offers a plush yet energetic feel with each step and helps to propel the runner forward.

OUTSOLE

G-GRIP rubber outsole is made with graphene, the world's strongest material, for long-lasting traction.
4mm lugs provides grip on trails while maintaining a smooth ride on roads.

UPPER

Knit Mesh covers the upper for durable coverage that resists abrasion from the trail.

  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_Parkclaw_G_280/descpage-IPG28M1.html
4,inov-8 Mudclaw 300,Men's Shoes - Blue/Yellow, $160.00 , Technologies  MIDSOLEEVA foam for amazing cushioning and impact protection.Dynamic Fascia Band Shank extends from the midfoot to the forefoot for flexible underfoot impact protection.OUTSOLEG-Grip is graphene-enhanced rubber that provides better traction and increased durability.Adapter-Flex groove increases agility over uneven terrain.8mm Lugs grip on the loose and muddy surfaces. UPPERHard Wearing upper is lightweight and breathable.  ,"[<div class=""col is-active"">Minimal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSMT"">Soft &amp; Muddy Trails</i><span>Soft &amp; Muddy Trails</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSIT"">Snowy &amp; Icy Trails</i><span>Snowy &amp; Icy Trails</span></div> </div>]",https://www.runningwarehouse.com/inov-8_Mudclaw_300/descpage-IM300M1.html
