,title,brand,model,price,discount,discount_%,sex,colour,cushioning,stability,best_use_surface,midsole,outsole,upper,link_shoes
450,HOKA Kawana,HOKA,Kawana,139.95,0.0,0.0,Men's Shoes , Blanc de Blanc,High,Neutral,"All Around,Gym Workouts,Casual Wear,Walking,Roads and Pavement",CMEVA Foam provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage efficient running mechanics.Swallow-Tail Heel Bevelgives a smooth transition.,"Hi-Abrasion Lightweight Rubberis strategically placed for traction and durability, with an updated design to optimize grip and energy return.",Engineered Recycled Jacquard Meshon the upper uses an open design to allow for airflow while providing support in key areas.Extended Heel Pull creates and easy on-off.Anatomical Achilles for comfort no matter the activity.  ,https://www.runningwarehouse.com/HOKA_Kawana/descpage-HOKWM1.html
451,HOKA Kawana,HOKA,Kawana,139.95,0.0,0.0,Men's Shoes , Black/White,High,Neutral,"All Around,Gym Workouts,Casual Wear,Walking,Roads and Pavement",CMEVA Foam provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage efficient running mechanics.Swallow-Tail Heel Bevelgives a smooth transition.,"Hi-Abrasion Lightweight Rubberis strategically placed for traction and durability, with an updated design to optimize grip and energy return.",Engineered Recycled Jacquard Meshon the upper uses an open design to allow for airflow while providing support in key areas.Extended Heel Pull creates and easy on-off.Anatomical Achilles for comfort no matter the activity.  ,https://www.runningwarehouse.com/HOKA_Kawana/descpage-HOKWM2.html
452,HOKA Kawana,HOKA,Kawana,139.95,0.0,0.0,Men's Shoes , Ice Flow/Goblin Blue,Medium,Neutral,"All Around,Gym Workouts,Casual Wear,Walking,Roads and Pavement",CMEVA Foam provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage efficient running mechanics.Swallow-Tail Heel Bevelgives a smooth transition.,"Hi-Abrasion Lightweight Rubberis strategically placed for traction and durability, with an updated design to optimize grip and energy return.",Engineered Recycled Jacquard Meshon the upper uses an open design to allow for airflow while providing support in key areas.Extended Heel Pull creates and easy on-off.Anatomical Achilles for comfort no matter the activity.  ,https://www.runningwarehouse.com/HOKA_Kawana/descpage-HOKWM5.html
453,HOKA Kawana,HOKA,Kawana,139.95,0.0,0.0,Men's Shoes , Shortbread/Bluing,High,Neutral,"All Around,Gym Workouts,Casual Wear,Walking,Roads and Pavement",CMEVA Foam provides that signature HOKA ONE ONE Cushioning.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage efficient running mechanics.Swallow-Tail Heel Bevelgives a smooth transition.,"Hi-Abrasion Lightweight Rubberis strategically placed for traction and durability, with an updated design to optimize grip and energy return.",Engineered Recycled Jacquard Meshon the upper uses an open design to allow for airflow while providing support in key areas.Extended Heel Pull creates and easy on-off.Anatomical Achilles for comfort no matter the activity.  ,https://www.runningwarehouse.com/HOKA_Kawana/descpage-HOKWM3.html
454,HOKA Stinson ATR 6,HOKA,Stinson ATR 6,169.95,0.0,0.0,Men's Shoes , Blue Graphite,High,Neutral,"All Around,Cushioned Comfort,Hiking,Roads and Pavement,Smooth Trails and Fireroads",CMEVA (compression-molded EVA) midsole provides optimal lightweight cushioning.Broad midsole and accommodating fit for a comfortable ride.Late Stage Meta-Rocker Geometry is a rockered midsole design engineered to create a stable base of forefoot support.,"Zonal Rubber Outsole features rubber in high wear areas for increased durability without added weight.Broad, closely spaced lugs deliver versatile traction on uneven trails.4mm lugs provide all-terrain traction.",Engineered Mesh on the upper allows for excellent airflow and breathability.Recycled UNIF Reprieve Yarn derived from post-consumer waste plastic.Anatomical Support Wings along eye row for secure lockdown.TPU Reinforced Toe Cap provides additional durability.  ,https://www.runningwarehouse.com/HOKA_Stinson_ATR_6/descpage-HOSA6M6.html
455,HOKA Stinson ATR 6,HOKA,Stinson ATR 6,169.95,0.0,0.0,Men's Shoes , Blue Coral,High,Neutral,"All Around,Cushioned Comfort,Hiking,Roads and Pavement,Smooth Trails and Fireroads",CMEVA (compression-molded EVA) midsole provides optimal lightweight cushioning.Broad midsole and accommodating fit for a comfortable ride.Late Stage Meta-Rocker Geometry is a rockered midsole design engineered to create a stable base of forefoot support.,"Zonal Rubber Outsole features rubber in high wear areas for increased durability without added weight.Broad, closely spaced lugs deliver versatile traction on uneven trails.4mm lugs provide all-terrain traction.",Engineered Mesh on the upper allows for excellent airflow and breathability.Recycled UNIF Reprieve Yarn derived from post-consumer waste plastic.Anatomical Support Wings along eye row for secure lockdown.TPU Reinforced Toe Cap provides additional durability.  ,https://www.runningwarehouse.com/HOKA_Stinson_ATR_6/descpage-HOSA6M5.html
456,HOKA Torrent 3,HOKA,Torrent 3,129.95,0.0,0.0,Men's Shoes , Mock Orange/Ceramic,Medium,Neutral,"All Around,Fast Runs,Smooth Trails and Fireroads",PROFLY is softer in the heel for extra cushioning and firmer in the forefoot for added propulsion.,Sticky Rubber is strategically placed for increased traction on slippery surfaces.4mm Multidirectional Lugs are strategically placed to provide traction across varied terrain.,"Engineered Mesh made of recycled polyester fibers provides optimal breathability, quick-drying comfort, and support.Reinforcing Overlays surround the forefoot and toe box for added support and protection from trail debris.  ",https://www.runningwarehouse.com/HOKA_Torrent_3/descpage-HTO3M02.html
457,HOKA Torrent 3,HOKA,Torrent 3,129.95,0.0,0.0,Men's Shoes , Ceramic/Avocado,Medium,Neutral,"All Around,Fast Runs,Smooth Trails and Fireroads",PROFLY is softer in the heel for extra cushioning and firmer in the forefoot for added propulsion.,Sticky Rubber is strategically placed for increased traction on slippery surfaces.4mm Multidirectional Lugs are strategically placed to provide traction across varied terrain.,"Engineered Mesh made of recycled polyester fibers provides optimal breathability, quick-drying comfort, and support.Reinforcing Overlays surround the forefoot and toe box for added support and protection from trail debris.  ",https://www.runningwarehouse.com/HOKA_Torrent_3/descpage-HTO3M01.html
458,HOKA Torrent 3,HOKA,Torrent 3,129.95,0.0,0.0,Men's Shoes , Bluesteel/Dark Citron,Medium,Neutral,"All Around,Fast Runs,Smooth Trails and Fireroads",PROFLY is softer in the heel for extra cushioning and firmer in the forefoot for added propulsion.,Sticky Rubber is strategically placed for increased traction on slippery surfaces.4mm Multidirectional Lugs are strategically placed to provide traction across varied terrain.,"Engineered Mesh made of recycled polyester fibers provides optimal breathability, quick-drying comfort, and support.Reinforcing Overlays surround the forefoot and toe box for added support and protection from trail debris.  ",https://www.runningwarehouse.com/HOKA_Torrent_3/descpage-HTO3M03.html
459,HOKA Torrent 2,HOKA,Torrent 2,125.0,79.88,63.9,Men's Shoes , Real Teal/Mist,Medium,Neutral,"All Around,Fast Runs,Smooth Trails and Fireroads",PROFLY is softer in the heel for extra cushioning and firmer in the forefoot for added propulsion.,Marbled Sticky Rubber is strategically placed for increased traction on slippery surfaces.Multidirectional Lugs are strategically placed to provide traction across varied terrain.,"Engineered Mesh made of recycled polyester fibers provides optimal breathability, quick-drying comfort, and support.Reinforcing Overlays surround the forefoot and toe box for added support and protection from trail debris.  ",https://www.runningwarehouse.com/HOKA_Torrent_2/descpage-HOOT2M8.html
460,HOKA Torrent 2,HOKA,Torrent 2,125.0,79.88,63.9,Men's Shoes , Blue Coral/Primrose,Medium,Neutral,"All Around,Fast Runs,Smooth Trails and Fireroads",PROFLY is softer in the heel for extra cushioning and firmer in the forefoot for added propulsion.,Marbled Sticky Rubber is strategically placed for increased traction on slippery surfaces.Multidirectional Lugs are strategically placed to provide traction across varied terrain.,"Engineered Mesh made of recycled polyester fibers provides optimal breathability, quick-drying comfort, and support.Reinforcing Overlays surround the forefoot and toe box for added support and protection from trail debris.  ",https://www.runningwarehouse.com/HOKA_Torrent_2/descpage-HOOT2M9.html
461,HOKA Zinal,HOKA,Zinal,160.0,127.95,79.97,Men's Shoes , Fiesta/Black Olive,Medium,Neutral,"All Around,Fast Runs",PROFLYgives a cushioned landing and a propulsive toe-off.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to provide a smooth ride.,"Vibram Megagrip 4mm lugged outsole has amazing grip, provides additional durability.",Engineered Meshoffers structure and an improved midfoot lockdown.Gussested Tonguehelps keep debris out.  ,https://www.runningwarehouse.com/HOKA_Zinal/descpage-HZN1M3.html
