,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Skechers GOrun Razor 4,Men's Shoes - Red/Black, $129.95 ," Technologies  MIDSOLE   Hyper Burst Pro is a highly responsive, ultra-lightweight, long-lasting, and resilient TPU cushioning.   Arch Fit insole provides podiatrist-certified arch support.OUTSOLEGoodyear Rubber outsole is strategically placed for added durability and traction. UPPEREngineered Mesh upper is durable, translucent, supportive, and breathable. 3D-Printed Overlays provide support and comfort while keeping weight to a minimum. Molded Heel Counter offers added support and a secure fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Razor_4/descpage-SKR4M1.html
1,Skechers GOrun Razor 4,Men's Shoes - Black/Blue, $99.95 $134.95* ," Technologies  MIDSOLE   Hyper Burst Pro is a highly responsive, ultra-lightweight, long-lasting, and resilient TPU cushioning.   Arch Fit insole provides podiatrist-certified arch support.OUTSOLEGoodyear Rubber outsole is strategically placed for added durability and traction. UPPEREngineered Mesh upper is durable, translucent, supportive, and breathable. 3D-Printed Overlays provide support and comfort while keeping weight to a minimum. Molded Heel Counter offers added support and a secure fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Razor_4/descpage-SKR4M2.html
2,Skechers GOrun Razor TRL 2,Men's Shoes - Blue Mesh/Green, $139.95 ," Technologies  MIDSOLEHYPER BURST is an ultra-light cushioning that provides a highly responsive ride with plenty of protection.Hyper Arch promotes efficient running mechanics by encouraging a midfoot strike.Arch Fit Insole provides podiatrist-certified support. OUTSOLEGood Year Rubber outsole is strategically placed for added durability and traction.UPPERRipstop Mesh upper is durable, translucent, supportive, and breathable.3D-Printed Overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.Toe Protect toe cap provides structure to protect your toes on the trail  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Razor_TRL_2/descpage-SKRT2M1.html
3,Skechers GOrun Max Road 6,Men's Shoes - Black/Lime, $129.95 ," Technologies  MIDSOLEHYPER BURST ICE is an ultra-light cushioning that provides a highly cushioned midsole with a bouncy nature.Carbon-Infused Plate generates rigidity for a snappier and quicker heel-toe transition.OUTSOLEGoodyear rubber outsole is added for enhanced durability, traction, and flexibility.UPPERUpdated Mesh Upper is a mesh that provides a soft fit, but is lighter and more breathable.Molded Heel Counter offers added support and a secure fit.  ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Max_Road_6/descpage-SKMR6M1.html
4,Skechers GOrun Maxroad 5,Men's Shoes - Grey, $89.88 $134.95* ," Technologies  MIDSOLEHYPER BURST is an ultra-light cushioning that provides a highly responsive ride with plenty of protection.M-Strike promotes efficient running mechanics by encouraging a midfoot strike.Carbon-Infused H-Plate generates rigidity for a snappier and quicker transition.OUTSOLEGoodyear rubber outsole pods are strategically placed for added durability, traction, and flexibility.Resagrip midsole pods promote an efficient midfoot strike.UPPERMono Mesh upper provides a similar fit, but is lighter and more breathable.Soft overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Maxroad_5/descpage-SKMR5M3.html
5,Skechers GOrun Persistence,Men's Shoes - Blue Mesh/Yellow, $114.95 , Technologies  MIDSOLEULTRA FLIGHT is a light cushioning that provides a responsive ride with plenty of protection.Carbon-Infused H-Plate generates rigidity for a snappier and quicker transition.OUTSOLEGoodyear rubber outsole for added durability and traction.UPPERMono Mesh upper is lighter and more breathable.Soft overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Persistence/descpage-SKPEM1.html
6,Skechers GOrun Horizon Vanish 2,Men's Shoes - Red/Multi, $49.88 $99.95* ," Technologies  MIDSOLEULTRA FLIGHT is a lightweight, responsive cushioning located in the forefoot for maximum energy return.M-Strike promotes efficient running mechanics by encouraging a midfoot strike.OUTSOLERubber outsole pods are strategically placed for added durability, traction, and flexibility. Resagrip midsole pods promote an efficient midfoot strike.UPPERRipstop Mono Mesh upper is durable, translucent, supportive, and breathable. Asymmetric Lacing System allows for a secure fit without irritation.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Horizon_Vanish_2/descpage-SKHRVM2.html
