,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,NNormal Kjerag,Unisex Shoes - Black, $195.00 ," Technologies  MIDSOLE EExpure foam is engineered specifically for trail-running shoes that offers the best-possible propulsion and compression, less slippage, and way fewer blisters. OUTSOLE VIBRAM Litebase contains 3.5mm lugs and keeps sole weight down. VIBRAM Megagrip is super-stick and extra-durable.  UPPER Matryx Jacquard is exceptionally breathable and durable and is weaved from individually coated polyamide and Kevlar yarns.    ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/NNormal_Kjerag/descpage-NNKJ1U3.html
1,NNormal Kjerag,Unisex Shoes - Smoke Green/Ice Flow, $195.00 ," Technologies  MIDSOLE EExpure foam is engineered specifically for trail-running shoes that offers the best-possible propulsion and compression, less slippage, and way fewer blisters. OUTSOLE VIBRAM Litebase contains 3.5mm lugs and keeps sole weight down. VIBRAM Megagrip is super-stick and extra-durable.  UPPER Matryx Jacquard is exceptionally breathable and durable and is weaved from individually coated polyamide and Kevlar yarns.    ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/NNormal_Kjerag/descpage-NNKJ1U1.html
2,NNormal Kjerag,Unisex Shoes - White/Grey, $195.00 ," Technologies  MIDSOLE EExpure foam is engineered specifically for trail-running shoes that offers the best-possible propulsion and compression, less slippage, and way fewer blisters. OUTSOLE VIBRAM Litebase contains 3.5mm lugs and keeps sole weight down. VIBRAM Megagrip is super-stick and extra-durable.  UPPER Matryx Jacquard is exceptionally breathable and durable and is weaved from individually coated polyamide and Kevlar yarns.    ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/NNormal_Kjerag/descpage-NNKJ1U2.html
